is selected,Best A,Best B,Select A,Select B,Best R,Best U,Select R,Select U,price,otherSupplierRank,bestDelta,nextDelta,dropRatio,MappedDropRatio
0,1,0,1,0,0,1,0,1,0.723,4,0.0975,-0.0007,0,0
1,1,0,1,0,0,1,0,1,0.7237,5,0.0982,0,0,0
1,1,0,1,0,0,1,0,1,0.0885,1,0,-0.0005,0,0
0,1,0,1,0,0,1,0,1,0.089,2,0.0005,-0.01248,0,0
0,1,0,1,0,0,1,0,1,0.10148,3,0.01298,0,0,0
0,0,1,1,0,0,1,0,1,0.11262,1,0,-0.0025,0,0
0,0,1,1,0,0,1,0,1,0.11512,2,0.0025,-0.0025,0,0
0,0,1,1,0,0,1,0,1,0.11762,3,0.005,-0.00068,0,0
1,0,1,1,0,0,1,0,1,0.1183,4,0.00568,-0.00066,0,0
0,0,1,1,0,0,1,0,1,0.11896,5,0.00634,-0.00164,0,0
0,0,1,1,0,0,1,0,1,0.1206,6,0.00798,-0.012062,0,0
0,0,1,1,0,0,1,0,1,0.132662,7,0.020042,0,0,0
1,1,0,1,0,0,0,0,0,0.1771,1,0,-0.0017,0,0
0,1,0,1,0,0,0,0,0,0.1788,2,0.0017,-0.001168,0,0
0,1,0,1,0,0,0,0,0,0.179968,3,0.002868,-0.001732,0,0
0,1,0,1,0,0,0,0,0,0.1817,4,0.0046,-0.0101,0,0
0,1,0,1,0,0,0,0,0,0.1918,5,0.0147,-0.00117,0,0
0,1,0,1,0,0,0,0,0,0.19297,6,0.01587,0,0,0
1,1,0,1,0,0,1,0,1,0.171,1,0,-0.0004,0,0
0,1,0,1,0,0,1,0,1,0.1714,2,0.0004,-0.01859,0,0
0,1,0,1,0,0,1,0,1,0.18999,3,0.01899,0,0,0
0,1,0,0,0,0,1,1,0,0.0889,1,0,-0.00091,0,0
1,1,0,0,0,0,1,1,0,0.08981,2,0.00091,-0.00381,0,0
0,1,0,0,0,0,1,1,0,0.09362,3,0.00472,0,0,0
0,1,0,1,0,0,0,0,1,0.097774,1,0,-0.001726,0,0
1,1,0,1,0,0,0,0,1,0.0995,2,0.001726,-0.00698,0,0
0,1,0,1,0,0,0,0,1,0.10648,3,0.008706,-0.00332,0,0
0,1,0,1,0,0,0,0,1,0.1098,4,0.012026,0,0,0
0,1,0,1,0,0,0,0,0,0.07086,5,0.00578,-0.00064,85.08,1
0,1,0,1,0,0,0,0,0,0.0715,6,0.00642,-0.00068,85.08,1
1,1,0,1,0,0,0,0,0,0.07218,7,0.0071,0,85.08,1
0,1,0,1,0,0,0,0,0,0.06508,1,0,-0.00141,85.08,1
0,1,0,1,0,0,0,0,0,0.06649,2,0.00141,-0.00216,85.08,1
0,1,0,1,0,0,0,0,0,0.06865,3,0.00357,-0.00015,85.08,1
0,1,0,1,0,0,0,0,0,0.0688,4,0.00372,-0.00206,85.08,1
1,0,1,0,1,0,1,0,1,0.1325,1,0,-0.0067,0,0
0,0,1,0,1,0,1,0,1,0.1392,2,0.0067,-0.00172,0,0
0,0,1,0,1,0,1,0,1,0.14092,3,0.00842,0,0,0
1,0,1,0,1,1,0,1,0,0.04447,1,0,-0.00125,0,0
0,0,1,0,1,1,0,1,0,0.04572,2,0.00125,-0.00125,0,0
0,0,1,0,1,1,0,1,0,0.04697,3,0.0025,-0.00385,0,0
0,0,1,0,1,1,0,1,0,0.05082,4,0.00635,0,0,0
1,0,0,0,0,1,0,1,0,0.2637,1,0,-0.0107,0,0
0,0,0,0,0,1,0,1,0,0.2744,2,0.0107,-0.0186,0,0
0,0,0,0,0,1,0,1,0,0.293,3,0.0293,-0.0078,0,0
